Category Title,Product Name,Link,Recipe Info,Image URL,Ingredients,Energy_kj,Energy_kcal,Energy_percent,Fat,Fat_percent,Saturates,Saturates_percent,Sugars,Sugars_percent,Salt,Salt_percent,Carbs,Protein,Fibre,Serves,Time,Calories,Freezable,Gluten-free,Dairy-free,Instructions,Additional Notes
Margarita cocktail recipes,Chilli and mango margarita recipe,https://realfood.tesco.com/recipes/chilli-and-mango-margarita.html,,https://realfood.tesco.com/media/images/RFO-LargeHero-chillimangomargarita-3d0f9f4b-18dd-4596-a63a-3832e8a8f2c8-0-1400x919.jpg,"ice cubes; 100ml vodka; 100ml (3 1/2fl oz) tequila; 400ml (14fl oz) mango juice; 2 limes, juiced; 150ml (1/4pt) prosecco or sparkling wine; 1 vanilla pod; 125g (4oz) granulated sugar; 2 long red chillies, 1 halved",Energy,865kj,10%,Fat,0g,Saturates,0g,Sugars,17g,Salt,0g,17.6g,0.3g,0g,4,"15 mins to prepare, plus cooling time",207.0,No,No,No,"Start by making the syrup. Halve the vanilla pod and scrape out the seeds. Put the seeds into a small, heavy bottomed pan along with the sugar and 125ml (4fl oz) of water. Add the halved chilli. Heat the pan over a low heat until the sugar has dissolved. Increase the heat and boil vigorously for 1 min. Turn off the heat and leave to cool completely. Strain the syrup into a jug.; Put a handful of ice cubes into a large cocktail shaker; and add 4 tbsp of the syrup (you may not need all the syrup but it will keep well in a jam jar in the fridge for 3 months). Add the vodka, tequila, mango juice and the lime juice. Put the lid on the shaker and shake vigorously to combine.; Strain the cocktail into 4 chilled martini glasses and garnish with curls of chilli – to make these, use a potato peeler to peel strips of the whole chilli down its length. Curl around a pencil or a chopstick and add one to each drink.","IF YOU DON'T HAVE ANY LIMES, TRY A LEMON INSTEAD"
Margarita cocktail recipes,Watermelon margarita recipe,https://realfood.tesco.com/recipes/watermelon-margarita.html,,https://realfood.tesco.com/media/images/RFO-1400x919-Watermelon-margarita-07ae7c54-ef06-496f-84f4-219202fd84f8-0-1400x919.jpg,500g pack frozen watermelon balls; 100ml tequila; 50ml triple sec; 4 tsp icing sugar; 2 tbsp lemon juice,Energy,565kj,7%,Fat,0g,Saturates,0g,Sugars,12g,Salt,trace,12.1g,0.6g,0g,4,5 mins to prepare,134.0,No,Yes,Yes,"Put all the ingredients in a blender and blitz until smooth – it will be very thick and slushy but will gradually thin as the watermelon defrosts. Pour into a 1ltr bottle and chill for up to 1 day before serving.; When ready to serve, thoroughly shake the bottle to mix then pour into glasses.",
Margarita cocktail recipes,Mango and jalapeño frozen margarita recipe,https://realfood.tesco.com/recipes/mango-and-jalapeno-frozen-margarita.html,,https://realfood.tesco.com/media/images/1400x919-Mango-Jalapeno-Frozen-Margs-429f2d35-ca53-46f5-aa8c-2c0e2d4c37e1-0-1400x919.jpg,"1 tsp sea salt flakes; 3 tbsp caster sugar; 8 limes, 6 juiced (you need about 100ml juice), 1 sliced into rounds and the pared peel from 1, to garnish; 150ml tequila; 100ml triple sec; 12 slices green jalapeños, drained, plus 3 tbsp liquid from the jar; 800g frozen mango chunks; 250g crushed ice",Energy,810kj,10%,Fat,1g,Saturates,0g,Sugars,24g,Salt,0.3g,24.5g,1g,1.6g,6 (makes 1.2ltr),15 mins,193.0,No,No,No,"Dip the rims of 6 cocktail glasses in a little water, then into the salt flakes.; Stir the sugar into 2 tbsp boiling water and the lime juice to dissolve. Add to a blender with the tequila, triple sec, the jalapeño jar juice, frozen mango and ice (you may need to work in two batches). Whizz until slushy.; Pour the Frozen Margarita into the glasses. Thread jalapeños and pared lime peel onto cocktail sticks to garnish, along with lime slices.","IF YOU DON'T HAVE ANY LIMES, TRY A LEMON INSTEAD"
Margarita cocktail recipes,Herb garden margarita recipe,https://realfood.tesco.com/recipes/herb-garden-margarita.html,,https://realfood.tesco.com/media/images/1400x919-herb-margarita-fde5ec46-9c15-44af-87ab-4a3b4ff16cde-0-1400x919.jpg,"large handful of ice cubes; 100ml tequila; 50ml triple sec; 50ml lime juice (roughly 2-3 juicy limes); 5 mint sprigs, plus extra to garnish; 5 basil sprigs, plus extra leaves to garnish; 2 thyme sprigs; 1 tbsp flaked sea salt; ½ lime, zested",Energy,690kj,9%,Fat,0g,Saturates,0g,Sugars,0g,Salt,2g,0.6g,0.2g,0.1g,2,10 mins to prepare,170.0,No,Yes,Yes,"Half-fill a cocktail shaker with ice cubes.Add the tequila, triple sec and lime juice. Place the herb sprigs in your hand and clap them together to release the essential oils. Add the herb sprigs (whole) to the shaker, cover and shake well for 30 secs.; Sprinkle the salt and lime zest onto a small plate. Cut the remaining lime into wedges.; Run a lime wedge around the rims of two martini glasses. Dip into the salt/lime zest to coat.; Strain the margarita into the glasses, garnish each with a wedge of lime, a sprig of mint and a basil leaf. Serve immediately.","IF YOU DON'T HAVE ANY LIMES, TRY A LEMON INSTEAD"
Poppy O'Toole recipes,Watermelon pizza recipe,https://realfood.tesco.com/recipes/watermelon-pizza.html,"Sweet, refreshing and great fun to make, this watermelon pizza makes a fab healthy dessert for midweek, the weekend or a party. Get creative and change up the toppings! See method",https://realfood.tesco.com/media/images/1400x919-Watermelon-pizza-6c925618-966c-41bf-b161-0079cf777d12-0-1400x919.jpg,"1 large watermelon, deseeded; 4 tbsp Greek-style yogurt; 6-8 strawberries; 2 tbsp blueberries; 2 bananas; 4 tsp raisins; 1-2 tsp honey (optional)",Energy,465kj,6%,Fat,2g,Saturates,1g,Sugars,21g,Salt,0g,21.4g,1.7g,2g,6,15 mins to prepare,111.0,No,Yes,No,"Cut the watermelon into 2.5cm thick rounds and use kitchen paper to dab dry both sides of your watermelon slices so they are fairly dry. This will help the toppings to stick.; Top the slices with 1 tbsp yogurt and use a spoon to spread it out to the edges.; Slice up the fresh fruit into different shapes and sizes, then scatter over the top of the yogurt. Sprinkle over the raisins, squeeze over some honey and cut into 6 even slices like a pizza.",1 OF YOUR 5 A DAY AND LOW IN FAT
Poppy O'Toole recipes,Mini mango and kiwi cheesecake pots recipe,https://realfood.tesco.com/recipes/mini-mango-and-kiwi-cheesecake-pots.html,"Craving cheesecake? These simple-to-make mini cheesecake pots make a lovely lighter choice for pudding. The creamy vanilla filling is made from fat-free Greek yogurt and low-fat cream cheese, and topped with zingy kiwi and juicy mango for a fruity finishing touch! See method",https://realfood.tesco.com/media/images/1400x919-Mini-mango-and-kiwi-pots-22d8bcf2-c6f3-463b-9a16-7325d90b1a04-0-1400x919.jpg,"8 sweet oat biscuits, crushed; 160g 0% fat Greek yogurt; 170g low-fat cream cheese; 2 tbsp maple syrup; 1 tsp vanilla extract; 1 kiwi, cut into small cubes; 1 ripe mango, cut into small cubes",Energy,1200kj,14%,Fat,11g,Saturates,6g,Sugars,21g,Salt,0.5g,34.5g,9.7g,3.3g,,15 mins plus at least 1 hr chilling,286.0,No,No,No,"Spoon the crushed biscuits into the base of 4 x 150ml serving pots. Use the end of a rolling pin to gently press down to compact the base.; In a bowl, whisk together the yogurt, cream cheese, maple syrup and vanilla extract until smooth and fully combined.; Spoon the cheesecake mixture on top of the biscuit bases and pop in the fridge for at least 1 hour to firm up.; Sprinkle over the chopped kiwi and mango to serve.",
Poppy O'Toole recipes,Hidden veggie mac 'n' cheese recipe,https://realfood.tesco.com/recipes/hidden-veggie-mac-n-cheese.html,You'd never know this mac 'n' cheese includes hidden veggies to make a creamy cheesy sauce. It's definitely one to make when you need a comforting yet healthy bowl of pasta. See method,https://realfood.tesco.com/media/images/1400x919-Mac-n-cheese-c52345fc-5e57-4dd7-925f-e20fcbeba683-0-1400x919.jpg,"300g frozen butternut squash chunks; 200g frozen sweet potato chunks; 1 brown onion, chopped into quarters; vegetable oil, for drizzling; 1 tsp smoked paprika; 1 tsp onion granules; 1 tsp garlic granules; 350g macaroni; 50g red Leicester, grated, plus extra handfuls (optional); 50g Cheddar, grated, plus extra handfuls (optional); 200ml milk; 1 vegetable stock cube or pot, made up with 300ml boiling water",Energy,1695kj,20%,Fat,10g,Saturates,5g,Sugars,9g,Salt,1.1g,60.1g,14.8g,5.1g,6,1 hr 15 mins,402.0,No,No,No,"Preheat the oven to gas 6, 200°C, fan 180°C. Add the squash, sweet potato and onion to a baking tray and season with salt and pepper. Drizzle with vegetable oil, turn to coat and roast for 45 mins or until cooked through and soft.; About 10 minutes before the end of the cooking time, sprinkle over the smoked paprika, onion and garlic granules. Meanwhile, cook the macaroni to package instructions. Drain and return to the pan.; Add the roasted vegetables to a blender with the cheeses, milk and vegetable stock. Blitz until a smooth sauce - you may need to add a splash more milk or vegetable stock if it is looking a little thick.; Pour the veggie sauce into your pot of cooked pasta and mix really well to complete coat the pasta. Scoop all of the pasta and sauce into a baking dish and top with some extra handfuls of grated cheese, if using. Bake for 10-15 mins until golden brown and bubbling all over.",1 OF YOUR 5-A-DAY AND A SOURCE OF PROTEIN
Poppy O'Toole recipes,Slow-cooker full-of-vegetables casserole recipe,https://realfood.tesco.com/recipes/slow-cooker-full-of-vegetables-casserole.html,"Here's a great slow-cooker casserole recipe to fall back on when you need something hearty, healthy and budget-friendly to feed the family. Chock full of veg, it's wholesome and warming – just perfect for cold winter evenings. See method",https://realfood.tesco.com/media/images/1400x919-SLOWCOOKERFULLOFVEGETABLESCASSEROLE-RECIPE-02-329fea70-481d-47f9-a5d4-5031c79589db-0-1400x919.jpg,"2 leeks, cut into 1cm slices; 400g Maris Piper potatoes, cut into 2cm slices; 500g Chantenay carrots, cleaned and tops removed; 250g frozen sweetcorn; 250g frozen peas; 2ltr stock, made with 2 reduced-salt vegetable stock cubes; 1 tsp garlic powder; pinch of dried sage; pinch of thyme; 4 tbsp cornflour; 125g low-fat cream cheese; 10g chopped parsley, frozen or fresh",Energy,970kj,12%,Fat,5g,Saturates,2g,Sugars,14g,Salt,1.1g,33.8g,8.9g,8.5g,6,from 3 hrs 30 mins to 6 hrs 30 mins,232.0,No,No,No,"Put all the ingredients except the peas, sweetcorn, cornflour, cream cheese and parsley in the slow-cooker, season well and stir. Cook on high for 3 hrs or on low for 6 hrs.; Mix the cornflour with a little water to make a slurry and add that to the slow-cooker along with the peas, sweetcorn, cream cheese and parsley. Stir well, then cook for a further 30 mins.",2 OF YOUR 5-A-DAY AND HIGH IN FIBRE
Poppy O'Toole recipes,Slow-cooker hearty 5-veg chicken soup recipe,https://realfood.tesco.com/recipes/slow-cooker-hearty-5-veg-chicken-soup.html,"Brimming with veg and lean chicken, this wholesome soup provides 2 of your 5-a day, is low in saturated fat and high in protein. Filling enough for your evening meal, throw everything in the slow cooker for up to 6 hours and you'll have a comforting dinner to serve to the troops! See method",https://realfood.tesco.com/media/images/1400x919-SLOWCOOKERHEARTY5VEGCHICKENSOUP-RECIPE-02-7eb595fc-3264-4cfd-8e5e-c67e9ae421f0-0-1400x919.jpg,"4 chicken breasts; 2 white large potatoes, peeled and quartered; 3 carrots, peeled and cut into thick slices; 1 onion, diced; 1 leek, chopped; 2 garlic cloves, chopped; 500ml stock, made with 1 chicken stock cube; 3 small corn-on-the-cobs, halved; 2 thyme sprigs; 100g sugarsnap peas; 100g broad beans",Energy,1005kj,12%,Fat,3g,Saturates,1g,Sugars,9g,Salt,0.8g,21.6g,28.6g,6.1g,6,from 3 hrs 20 mins to 6 hrs 20 mins,238.0,No,No,No,"Season the chicken all over with black pepper and put it in the slow-cooker. Add the potatoes, carrots, onion, leek and garlic. Pour the stock around the chicken. Put the lid on and cook on high for 3 hrs or on low for 6 hrs, turning the chicken half-way through, until cooked through.; Remove the chicken from the slow-cooker and shred with two forks.; Add the chicken back to the slow-cooker. Add the corn, thyme, peas and beans and cook on high for 20 mins until the veg is tender. Season well with black pepper and serve.",2 OF YOUR 5-A-DAY AND LOW IN SATURATED FAT
Poppy O'Toole recipes,Slow-cooker veggie fajita rice bowl recipe,https://realfood.tesco.com/recipes/slow-cooker-veggie-fajita-rice-bowl.html,"Here's a healthy, veggie version of Friday night fajitas that's packed with veg and fibre. Pop everything in the slow-cooker (apart from the rice) and get on with other things while it slow-cooks to perfection. All the family will love topping their chilli with their favourite trimmings! See method",https://realfood.tesco.com/media/images/1400x919-SLOWCOOKERVEGGIEFAJITARICEBOWL-RECIPE-01-7fad4525-105f-4b95-bd2a-65b7bcfa5d72-0-1400x919.jpg,"4 red peppers, deseeded and thinly sliced; 2 red onions, thinly sliced; 6 large garlic cloves, grated or crushed; 3 sweet potatoes, peeled and cut into 1cm cubes; 2 x 400g cans of kidney beans, drained; 1 tbsp tomato purée; 1 tsp ground coriander; 1–2 tsp cayenne pepper; 2 tsp smoked paprika; 1 tsp ground cumin; 2 tsp chilli sauce; 300g cooked brown rice; soured cream, to serve (optional); lime wedges, to serve (optional); slaw, to serve (optional); guacamole, to serve (optional); grated Cheddar, to serve (optional); thinly sliced red chilli, to serve (optional)",Energy,2010kj,24%,Fat,4g,Saturates,1g,Sugars,19g,Salt,1.7g,84.5g,16.9g,20g,4,4 hrs 5 mins,477.0,No,No,No,"Put all the ingredients except the rice in the slow-cooker. Season with 1 tsp of salt and plenty of black pepper; stir well. Put the lid on and cook on high for 4 hrs until the veg is completely tender. Season with pepper to taste and add 100ml water for the sauce, if desired.; Serve cooked brown rice and, if you like, some soured cream, lime wedges, slaw, guacamole, grated Cheddar and sliced chilli for the whole family to make their own fajita rice bowl at the table.",2 OF YOUR 5-A-DAY AND HIGH IN FIBRE
